Speaker,X,Z
F02,-61.33109480283244,6.943101476726929
F02,-60.10260030643448,6.400820202768683
F02,-58.872780645845545,6.927322521397494
F02,-57.45923185171999,6.920874914147486
F02,-56.351179643911294,7.7163214258319694
F02,-55.44849259687945,7.13098963388609
F02,-54.23552715710886,7.208923287338319
F02,-52.89418305591667,7.418322800655334
F02,-51.695564098477846,7.049660392859808
F02,-50.53111225409361,6.933245059101397
F02,-49.33749850149532,6.700323973346906
F02,-47.98280368672946,6.9161656059894
F02,-46.66651107676387,6.621635180928151
F02,-45.33095704224083,6.380486496555383
F02,-43.98879691549355,6.639625016319258
F02,-42.829855568347824,6.735239005937547
F02,-41.461701241385086,6.913475440994281
F02,-40.138200442070335,7.236050542402744
F02,-38.97925535371723,7.331667842790122
F02,-37.59228237900563,7.455018698158123
F02,-36.17755134027102,7.45590640304624
F02,-34.762819338677524,7.455910596541395
F02,-33.348087337069046,7.4559105657732
F02,-31.933355335460554,7.455910565795487
F02,-30.51862333385207,7.455910611112057
F02,-29.103891332518984,7.455912689773397
F02,-27.68916075652359,7.454752196488372
F02,-26.326466326966152,7.280637680582863
F02,-25.121244040043383,6.6224166814184375
F02,-23.78427493708576,6.39241680857655
F02,-22.61437203211287,5.744339788700436
F02,-21.594126106897836,4.782529792259316
F02,-20.269976545582242,4.479106182811041
F02,-19.077151945868234,3.8174724820300847
F02,-18.070544149242377,2.8251162168496116
F02,-16.884906294621867,2.166927160518305
F02,-15.887986139452366,1.1634775912059063
F02,-14.887354224586453,0.16337664313196915
F02,-13.88667027147922,-0.8366722010901043
F02,-12.887960679256993,-1.8382346586675777
F02,-11.702586421433516,-2.496800837528478
F02,-10.695813579983454,-3.4898781035004993
F02,-9.698428996992678,-4.4928644973126275
F02,-8.504695517486372,-5.1543733221846235
F02,-7.3053943235178185,-5.80936493536683
F02,-6.3050324296500815,-6.80886178610764
F02,-5.5484191376004235,-7.992541341074404
F02,-4.9372403915875935,-9.268255021759664
F03,-58.18880639051365,-6.272697571241168
F03,-56.91538545688841,-5.308519490185464
F03,-55.59410660392058,-4.4142506854513535
F03,-54.17849590399591,-3.6743239041024514
F03,-52.815505623788056,-2.8429444615097283
F03,-51.51124061057246,-1.9211663263899972
F03,-50.22268753066455,-0.9775441737516264
F03,-48.76713140087667,-0.3338327780568471
F03,-47.26951962789035,0.22132937990770737
F03,-45.70291284293273,0.507859999235758
F03,-44.17633841381196,0.9410058379597689
F03,-42.68106991496401,1.4788277721610181
F03,-41.08734928975588,1.5305977371936366
F03,-39.490226148769125,1.5019268508138799
F03,-37.897617714940786,1.6064388977845168
F03,-36.31160026788653,1.7277069271479994
F03,-34.72277031129673,1.6090467534844555
F03,-33.141732324851375,1.8320393554847223
F03,-31.55655488495419,2.0234894448444996
F03,-29.987525332204665,2.3090660147890807
F03,-28.409491450869687,2.531200459281731
F03,-26.812187328684843,2.5330454359773484
F03,-25.214772046928783,2.538058856203966
F03,-23.624344879068957,2.420830618995069
F03,-22.06220656843918,2.090110020381982
F03,-20.50748783591605,1.7418324839306798
F03,-19.073800355860854,1.0428352017097158
F03,-17.719384051625656,0.19621536865997452
F03,-16.33127240547394,-0.5942166488933565
F03,-14.994850118951335,-1.467284445607445
F03,-13.828536311692158,-2.552784362406104
F03,-12.794663517576062,-3.770247880969922
F03,-11.65311441736232,-4.885175364231387
F03,-10.307335617403082,-5.731716328437898
F03,-8.805822218659674,-6.275218883507499
F03,-7.2701698712804905,-6.711546589865534
F03,-5.794969255578549,-7.314958425786939
